Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\CarrierMotherboard\Project Outputs for CarrierMotherboard\Pick Place for CarrierMotherboard.csv

========================================================================================================================
File Design Information:

Date:       17/11/25
Time:       22:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J15","SODIMM","TopLayer","FP-2309413-1-MFG","101.8750","117.3380","0","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"J501","B6PS-VH (LF)(SN)","TopLayer","FP-B6PS-VH_LF_SN-MFG","49.3000","41.7000","0","CONN HEADER R/A 6POS 3.96MM"
"C317","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","73.8352","31.6821","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C315","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","70.7644","35.2806","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C316","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","71.2216","31.9910","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"R316","","TopLayer","FP-CRCW0603C-e3-MFG","80.3694","36.9581","0","RES SMD 100K OHM 1% 1/10W 0603"
"R318","","TopLayer","FP-CRCW0603C-e3-MFG","80.6958","32.9946","0","RES SMD 100K OHM 1% 1/10W 0603"
"R315","","TopLayer","FP-CRCW0603-e3-IPC_C","79.4709","35.0258","180","RES Thick Film, 18.2kO, 1%, 0.1W, 100ppm/°C, 0603"
"C318","","TopLayer","FP-GRM188-0_1-e0_2_0_5-IPC_B","82.2099","35.0520","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 3900pF, C0G, 30ppm/°C, 5%, 50V"
"C310","","TopLayer","FP-CL10-IPC_B","68.1749","48.3702","180","Memory Card Connector, DDR4, SODIMM, Cam-In Locking, 260 Contacts, Copper Alloy"
"C311","","TopLayer","FP-CL10-IPC_B","68.2752","39.2938","180","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C312","0.1u","TopLayer","FP-GRM155-0_05-IPC_B","71.5742","40.9850","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"R310","301k","TopLayer","FP-CRCW0603-e3-IPC_C","77.8002","42.3926","180","RES Thick Film, 301kO, 1%, 0.1W, 100ppm/°C, 0603"
"L302","","TopLayer","FP-XAL5030-222MEC-MFG","72.7710","44.9112","270","Fixed Inductors 2.2uH Shld 20% 9.2A 14.5mOhms AECQ2 SRF: 38MHz Test Freq: 1MHz"
"R317","","TopLayer","RESC1609X50X30ML10T20","76.7133","33.0258","0",""
"C314","22n","TopLayer","CAPC1608X90X35ML10T15","71.3522","37.5662","0",""
"C313","","TopLayer","FP-GRM15-0_1-MFG","79.8972","39.1237","0","CAP CER 1UF 10V X5R 0402"
"R311","","TopLayer","FP-CRCW0603C-e3-MFG","78.6130","46.1772","180","RES SMD 100K OHM 1% 1/10W 0603"
"U302","","TopLayer","FP-RHL0020A-MFG","75.7722","38.3804","270","IC REG BOOST ADJ 10A 20VQFN"
"R503","274k","TopLayer","FP-AC0603-IPC_C","30.6637","83.5861","90",""
"U902","PCM2912APJTR","TopLayer","FP-PJT0032A-IPC_C","103.1000","74.4000","0","IC STEREO AUD CODEC W/USB 32TQFP"
"C914","","TopLayer","FP-C0603C-CF-MFG","95.0153","74.2858","180",""
"C913","","TopLayer","FP-C0603C-CF-MFG","98.5160","67.9507","90",""
"Y801","6mhz","TopLayer","FP-ABMM-MFG","93.1160","70.5358","0",""
"C916","","TopLayer","FP-GRM15-0_1-MFG","108.6104","69.1913","270",""
"C915","","TopLayer","FP-GRM15-0_1-MFG","102.0064","67.8420","270",""
"TP8","","TopLayer","FP-S2751-46R-MFG","76.6826","78.8670","0","PC TEST POINT NATURAL"
"C907","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","97.5284","79.4161","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C108","220n","TopLayer","FP-C1005-050-0_05-IPC_B","96.8460","101.3298","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
